prefecture,total_pop,elderly_pop,aging_rate
北海道,5224614,1668661,31.938455166257256
青森県,1237984,421272,34.02887274795151
岩手県,1210534,403874,33.3632925634472
宮城県,2301996,645108,28.02385408141456
秋田県,959502,349695,36.44546858682941
山形県,1068027,358485,33.56516267847161
福島県,1833152,583487,31.829711884230004
茨城県,2867009,851928,29.714870096326862
栃木県,1933146,558564,28.8940411122595
群馬県,1939110,574765,29.64065989036208
埼玉県,7344765,1968843,26.806072079909978
千葉県,6284480,1729676,27.522977239166963
東京都,14047594,3192014,22.72285204142432
神奈川県,9237337,2385311,25.822496245400597
新潟県,2201272,724776,32.9253268110438
富山県,1034814,335026,32.37548003795852
石川県,1132526,337426,29.79410627217388
福井県,766863,239712,31.25877764346435
山梨県,809974,248674,30.701479306743177
長野県,2048011,650997,31.78679216078429
岐阜県,1978742,603058,30.476838314444223
静岡県,3633202,1083901,29.83321598964219
愛知県,7542415,1904797,25.25447088233676
三重県,1770254,526278,29.728954150082416
滋賀県,1413610,374776,26.511979966185866
京都府,2578087,780650,30.28020388761124
大阪府,8837685,2439775,27.606494234632716
兵庫県,5465002,1581452,28.93781191662876
奈良県,1324473,421063,31.79098403666968
和歌山県,922584,305886,33.1553549595484
鳥取県,553407,180371,32.5928295088425
島根県,671126,226871,33.80453148887094
岡山県,1888432,583852,30.91729011158464
広島県,2799702,829562,29.630367803430502
山口県,1342059,465225,34.665018452989024
徳島県,719559,246533,34.26167972327495
香川県,950244,303723,31.962632755376514
愛媛県,1334841,449298,33.65928975810602
高知県,691527,248695,35.9631655741569
福岡県,5135214,1422774,27.70622606964384
佐賀県,811604,250373,30.84915796373601
長崎県,1312317,429670,32.741326981209575
熊本県,1738301,554760,31.913920546556668
大分県,1123852,374768,33.346739606282675
宮崎県,1069576,350033,32.72633267762179
鹿児島県,1588256,521490,32.83412749581932
沖縄県,1467480,331777,22.608621582576934
