Model,Variable,Beta,SE,t,p,CI_lower,CI_upper
HbA1c平均値_Model1_Walkability,const,5.9563,0.109,54.62,0.0,5.7364,6.1762
HbA1c平均値_Model1_Walkability,walkability_index,-0.0306,0.0098,-3.118,0.0032,-0.0503,-0.0108
HbA1c平均値_Model1_Walkability,aging_rate,-0.0054,0.0026,-2.126,0.0393,-0.0106,-0.0003
HbA1c平均値_Model1_Walkability,income_per_capita,-0.0,0.0,-0.987,0.3291,-0.0001,0.0
HbA1c平均値_Model2_Slope,const,5.9708,0.1262,47.323,0.0,5.7164,6.2252
HbA1c平均値_Model2_Slope,avg_slope_weighted,0.0004,0.0022,0.173,0.8633,-0.004,0.0047
HbA1c平均値_Model2_Slope,aging_rate,-0.0029,0.003,-0.946,0.3495,-0.009,0.0033
HbA1c平均値_Model2_Slope,income_per_capita,-0.0001,0.0,-3.037,0.004,-0.0002,-0.0
HbA1c平均値_Model3_Combined,const,5.938,0.1154,51.441,0.0,5.705,6.1709
HbA1c平均値_Model3_Combined,avg_slope_weighted,-0.0011,0.002,-0.524,0.6034,-0.0051,0.003
HbA1c平均値_Model3_Combined,walkability_index,-0.0318,0.0101,-3.13,0.0032,-0.0522,-0.0113
HbA1c平均値_Model3_Combined,aging_rate,-0.0048,0.0028,-1.701,0.0964,-0.0105,0.0009
HbA1c平均値_Model3_Combined,income_per_capita,-0.0,0.0,-0.786,0.4364,-0.0001,0.0
BMI肥満率_Model1_Walkability,const,56.374,6.711,8.4,0.0,42.8401,69.908
BMI肥満率_Model1_Walkability,walkability_index,0.7044,0.603,1.168,0.2492,-0.5117,1.9205
BMI肥満率_Model1_Walkability,aging_rate,-0.402,0.1574,-2.553,0.0143,-0.7195,-0.0845
BMI肥満率_Model1_Walkability,income_per_capita,-0.0088,0.0021,-4.268,0.0001,-0.013,-0.0047
BMI肥満率_Model2_Slope,const,50.3155,6.4305,7.825,0.0,37.3471,63.2838
BMI肥満率_Model2_Slope,avg_slope_weighted,-0.3433,0.1097,-3.129,0.0031,-0.5646,-0.122
BMI肥満率_Model2_Slope,aging_rate,-0.2304,0.1547,-1.489,0.1439,-0.5424,0.0817
BMI肥満率_Model2_Slope,income_per_capita,-0.0065,0.0016,-4.084,0.0002,-0.0097,-0.0033
BMI肥満率_Model3_Combined,const,50.6563,6.5079,7.784,0.0,37.5228,63.7898
BMI肥満率_Model3_Combined,avg_slope_weighted,-0.3285,0.1135,-2.893,0.006,-0.5576,-0.0994
BMI肥満率_Model3_Combined,walkability_index,0.3297,0.572,0.576,0.5674,-0.8247,1.4841
BMI肥満率_Model3_Combined,aging_rate,-0.2101,0.1599,-1.314,0.1959,-0.5327,0.1125
BMI肥満率_Model3_Combined,income_per_capita,-0.0072,0.002,-3.587,0.0009,-0.0112,-0.0031
腹囲平均値_Model1_Walkability,const,104.5638,4.1276,25.333,0.0,96.2396,112.888
腹囲平均値_Model1_Walkability,walkability_index,0.3982,0.3709,1.074,0.289,-0.3498,1.1462
腹囲平均値_Model1_Walkability,aging_rate,-0.3611,0.0968,-3.729,0.0006,-0.5564,-0.1658
腹囲平均値_Model1_Walkability,income_per_capita,-0.0059,0.0013,-4.616,0.0,-0.0084,-0.0033
腹囲平均値_Model2_Slope,const,100.7574,3.9209,25.698,0.0,92.8502,108.6646
腹囲平均値_Model2_Slope,avg_slope_weighted,-0.2164,0.0669,-3.234,0.0023,-0.3513,-0.0814
腹囲平均値_Model2_Slope,aging_rate,-0.2487,0.0944,-2.636,0.0116,-0.439,-0.0584
腹囲平均値_Model2_Slope,income_per_capita,-0.0045,0.001,-4.634,0.0,-0.0064,-0.0025
腹囲平均値_Model3_Combined,const,100.9224,3.9739,25.396,0.0,92.9028,108.942
腹囲平均値_Model3_Combined,avg_slope_weighted,-0.2092,0.0693,-3.017,0.0043,-0.3491,-0.0693
腹囲平均値_Model3_Combined,walkability_index,0.1596,0.3493,0.457,0.65,-0.5453,0.8645
腹囲平均値_Model3_Combined,aging_rate,-0.2389,0.0976,-2.447,0.0187,-0.4359,-0.0419
腹囲平均値_Model3_Combined,income_per_capita,-0.0048,0.0012,-3.946,0.0003,-0.0073,-0.0024
中性脂肪平均値_Model1_Walkability,const,155.8418,5.0326,30.967,0.0,145.6926,165.9909
中性脂肪平均値_Model1_Walkability,walkability_index,-0.4101,0.4522,-0.907,0.3695,-1.3221,0.5019
中性脂肪平均値_Model1_Walkability,aging_rate,-0.1115,0.1181,-0.944,0.3503,-0.3496,0.1266
中性脂肪平均値_Model1_Walkability,income_per_capita,-0.0023,0.0016,-1.492,0.143,-0.0055,0.0008
中性脂肪平均値_Model2_Slope,const,154.679,5.2685,29.359,0.0,144.054,165.304
中性脂肪平均値_Model2_Slope,avg_slope_weighted,-0.0743,0.0899,-0.827,0.4129,-0.2556,0.107
中性脂肪平均値_Model2_Slope,aging_rate,-0.0223,0.1268,-0.176,0.8611,-0.278,0.2334
中性脂肪平均値_Model2_Slope,income_per_capita,-0.0029,0.0013,-2.243,0.0301,-0.0055,-0.0003
中性脂肪平均値_Model3_Combined,const,154.1398,5.2741,29.226,0.0,143.4963,164.7834
中性脂肪平均値_Model3_Combined,avg_slope_weighted,-0.0978,0.092,-1.063,0.294,-0.2835,0.0879
中性脂肪平均値_Model3_Combined,walkability_index,-0.5216,0.4636,-1.125,0.2669,-1.4572,0.4139
中性脂肪平均値_Model3_Combined,aging_rate,-0.0544,0.1296,-0.42,0.6769,-0.3158,0.2071
中性脂肪平均値_Model3_Combined,income_per_capita,-0.0018,0.0016,-1.124,0.2675,-0.0051,0.0014
