Variable,N,Mean,SD,Min,Max
hba1c_mean,47,5.74,0.04,5.64,5.83
bmi_obesity_rate,47,30.08,2.55,26.06,39.85
waist_mean,47,84.2,1.64,81.48,90.76
triglycerides_mean,47,148.76,1.74,145.93,154.56
Q3_rate,47,16.48,1.39,13.69,20.5
Q4_rate,47,1.81,0.28,1.12,2.87
exercise_habit_rate,47,9.14,0.73,7.79,11.27
avg_slope_weighted,47,8.57,3.16,1.81,15.43
total_pop,47,2683963.0,2796579.2,553407.0,14047594.0
elderly_pop,47,766376.7,688819.62,180371.0,3192014.0
aging_rate,47,30.74,3.1,22.61,36.45
area,47,8042.04,11694.76,1876.78,83423.82
pop_density,47,657.0,1223.13,62.63,6402.64
did_population,47,1873177.74,2745693.72,171792.0,13844009.0
did_ratio,47,53.85,18.65,25.6,98.55
walkability_index,47,-0.0,0.93,-0.99,3.55
walkability_index_scaled,47,21.74,20.5,0.0,100.0
income_per_capita,47,1575.84,269.35,1272.28,2793.71
unemployment_rate,47,4.77,0.51,3.62,6.29
college_graduate_rate,47,57.56,7.07,46.7,74.1
